"This is the first time that a celebrity has adopted a village-in-need; though Aamir Khan provided relief to Kanuria, a village in Bhuj that was devastated by the earthquake in 2001.","['', 'donation_needs_or_offers_or_volunteering_services']"
"Hurricane Ivan batters Jamaica

 Kingston (Jamaica), Sept. 11 (Reuters): Deadly Hurricane Ivan battered Jamaica with powerful winds and torrential rains today but spared the island the worst of its wrath as the eye skirted the shore and headed for the Cayman Islands and Cuba.","['', 'Hurricane']"
"The storm felled large trees and poles, flooded streets, swept away houses, and left the island in the dark.","['', 'Flood']"
Sporadic shooting broke out on the deserted streets of the capital when looters went on the rampage.,['']
"Ivan, which has already killed 27 people and left a trail of devastation across the Caribbean, veered west just as it approached Jamaica and skirted the southern shore instead of plowing through the island.","['', 'injured_or_dead_people']"
"At 0900 GMT, Ivans winds had weakened slightly to 240 kmph but remained a powerful and deadly Category 4 hurricane on the Saffir-Simpson scale of 1-5.","['', 'Hurricane', 'missing_trapped_or_found_people']"
"Ivan?s eye was about 112 km south of Montego Bay, Jamaica, at latitude 17.5 north and longitude 78 west, the US National Hurricane Center said.","['', 'Hurricane']"
"The storm was moving west-northwest or northwest at about 13 kmph and at this rate, Ivan was expected to reach the Cayman Islands, a British territory, in 24 hours before heading for Cuba tomorrow and then to Florida on Monday.",['']
An Arab satellite television station showed today tapes of Chechen rebels saying they were ready to die for the independence of their homeland and to take the lives of infidel hostages seized in a Moscow theatre.,"['Rebellion', 'Terrorism', 'injured_or_dead_people']"
Al Jazeera television showed a tape of what it said was one of the women rebels saying: It makes no difference to us where we die and we chose to die here in Moscow and we will take with us the souls of the infidels.,"['', 'Rebellion', 'injured_or_dead_people']"
She was one of five veiled women shown standing in front of a banner with God is great written on it in Arabic.,['']
Her comments were translated into Arabic.,['']
Jazeera also showed in a separate tape what it said was one of the male rebels seated in front of a laptop with a Quran by his side.,"['', 'Rebellion']"
Each of us is ready to sacrifice for God and the independence of Chechnya.,['']
"We seek death more than you seek life, said the man, who was also dressed in black.","['', 'injured_or_dead_people']"
Rebels in Moscow seized hundreds of theatre-goers as hostages yesterday in an attack believed to have been carried out by Chechen separatist guerrillas who have threatened to shoot their captives or blow up the building unless Russia pulled its troops out of their homeland.,"['Rebellion', 'Terrorism']"
"We came to the Russian capital to stop the war or to die for the sake of God, said the man, adding that the rebels belonged to sabotage and reconnaissance military brigade in Chechnya.","['Rebellion', 'injured_or_dead_people']"
"Undersea earthquakes are the most frequent causes of the giant ripples in sea water called tsunamis that can move as fast as commercial aircraft and cause death and destruction on land, scientists say.","['', 'injured_or_dead_people']"
"But undersea volcanoes, submarine landslides and, rarely, asteroids or comets falling into the sea can also displace huge volumes of sea water and trigger tsunamis which spread out in all directions, sometimes at speeds of up to 800 km an hour.",['']
Earthquakes trigger tsunamis when the sea floor buckles and displaces the sea water.,['']
The initial size of the tsunami is determined by the amount of shift of the sea floor.,['']
"As a tsunami enters shallow coastal waters and approaches land, it slows down and gains height, creating a wall of water that can reach heights of 20 metres.",['']
"A unique tsunami generated by a landslide in Alaska?s Lituya Bay produced a 525-metre wave, according to the US government?s West Coast and Alaska Tsunami Warning Centre.",['']
The Krakatoa volcano in August 1883 caused the most deadly tsunami recorded so far in history ?,['']
"a giant wall of sea water that killed 35,000 people in Indonesia.","['', 'injured_or_dead_people']"
Tsunamis can travel across long distances.,['']
An earthquake off the coast of Chile in 1960 triggered a tsunami that took over 20 hours to move to the other side of the Pacific Ocean and hit Japan killing 150 people there.,"['', 'injured_or_dead_people']"
"Islands in the Pacific Ocean, the west coast of Latin America, particularly those of Chile and Peru, and Japan are among the most tsunami-prone regions in the world.",['']
"Four out of five tsunamis occur in the Pacific Ocean, according to a website on tsunamis maintained by the Oregon State University.",['']
"In deep water, they may be less than a metre high or may be undetectable by either a ship or an aircraft.",['']
"An earthquake of 7.1 magnitude led to a 15-metre high tsunami that struck Papua New Guinea on July 17, 1998, killing 2,200 people.","['', 'injured_or_dead_people']"
"Industry breathes life into quake-hit 
Bhuj, Feb. 19 (Reuters): A security guard in a bright blue uniform frisks Baburam Humble at the iron gate before he is let into the newly-built factory office where he works.",['']
Humble then punches in to begin a long day of taking orders from superiors and attending to the factorys steady stream of visitors.,['']
But he is not complaining.,['']
"I was completely at a loss after the earthquake, not knowing how to face the tragedy, the 29-year-old said.",['']
"This new factory has given me not only a livelihood, but also the strength to forget what happened in 2001.",['']
"Measuring 6.7 on the Richter scale, the earthquake had killed nearly 20,000 people and flattened residential complexes and businesses across large parts here.","['', 'injured_or_dead_people']"
"Humble, who lost all his savings after the concrete-roofed house he shared with his four brothers collapsed in the quake, has begun a new chapter in his life with Rs 2,500 a month he earns from the detergent and chemical factory.","['', 'infrastructure_and_utilities_damage']"
"Three years on, 150 industrial units are already functional or under construction in the Kutch region, and the development is transforming the region into a major industrial hub.",['']
"Like Humble, thousands of Kutchis from this arid region on the Pakistan border are now rebuilding their lives with help from the industrial community, which, in turn, gets tax breaks for setting up there.",['']
"The huge piles of debris and mangled metal from the flattened buildings in Bhuj, Anjar and Bachhau, three major towns destroyed by the quake, are giving way to multi-storied buildings and factories protected by iron gates and barbed wire fences.","['', 'infrastructure_and_utilities_damage']"
"The tax breaks are helping Kutch gain an altogether new look, said F.S.",['']
"Negi, general manager at PSL Holdings Ltd, which makes 60,000 tonnes of steel pipes per year.",['']
It is also helping quake survivors find much-needed livelihoods.,['']
"In an attempt to spur investment and generate employment for those hit hardest by the quake, the central and state governments offer a maximum 24 per cent tax rebate for up to 10 years for industrial units set up between July 31, 2001, and July 31, 2004.",['']
"While 81 small and medium-sized projects with an estimated investment of Rs 5 billion are already working, 58 projects worth a total investment of Rs 25 billion are at various stages of implementation.",['']
"And a total of nearly Rs 31 billion has been pledged for fresh investments in sectors as diverse as edible oil refining, detergent and soap manufacturing, metal pipes and ceramic tiles.",['']
"Officials of Gujarat Industrial Extension Bureau, which is leading the initiative to attract investors, say the new units will directly generate at least 80,000 jobs as well as several hundred thousands indirect jobs.",['']
"These new investments are not only generating employment, it has added to the confidence of the local masses, H.C. Desai, the bureaus chief general manager, said.",['']
"Derawar Singh, an 18-year-old migrant from neighbouring Rajasthan, is one beneficiary of Kutchs new industrial activity.",['']
I earn enough to run my family of five back home because of this new factory.,['']
"Maybe I can earn more with units coming up, said Singh, who runs a restaurant in an industrial area near Anjar.",['']
"The presence of two major ports on the west coast, the state-run Kandla and privately operated Mundra, and better road and rail networks are also helping Kutchs mushrooming industry.",['']
The ports are a major attraction.,['']
"Kutch also has a locational advantage as it can cater to the vast north and western hinterland of India, said Negi.",['']
Officials say Kutchs new-found status as an investment magnet has sharply pushed up land prices.,['']
"Hospital balm on AIDS alarm

 OUR SPECIAL CORRESPONDENT

 A spurt in the number of HIV/AIDS cases detected in a city centre has coincided with the call for a hospital dedicated to address the disease.",['Epidemic']
"At the School of Tropical Medicine, the nodal centre for HIV/AIDS treatment in the state, 608 patients out of over 1,000 have tested positive for the virus in the past eight months.","['Epidemic', 'injured_or_dead_people']"
The city on Friday was also told that it would get its first hospital dedicated to treatment of the disease.,"['', 'Epidemic']"
This was announced by the Calcutta diocese of the Church of North India (CNI).,['']
More than five million people are suffering from this disease in India.,"['Epidemic', 'injured_or_dead_people']"
"We are concerned because it is spreading very rapidly, said P.S.P.",['']
"Raju, bishop of the Calcutta diocese, following an AIDS sensitisation programme in CNI schools.","['', 'Epidemic']"
One possibility is that the hospital begins on an existing but revamped premises in the Maniktala area.,['']
"If that plan works out, the AIDS hospital should be up and running by January 2005, CNI sources said on Friday.",['']
"But the possibility of a new hospital premises at some other location has not be ruled out, either.",['']
"A series of awareness programmes, to involve students, teachers and principals of CNI schools, including La Martiniere, St James and Pratt Memorial, will also start shortly.",['']
The need for intervention in the city has never been greater.,['']
"Of the new cases detected at the School of Tropical Medicine, 578 patents were from the city, a figure which, experts believe, is likely to go up in the next four months, taking this years tally far beyond that of last year.","['', 'Epidemic']"
"In 2003, over 1,200 tested positive at the School of Tropical Medicine, but the number from the city was smaller.","['', 'Epidemic']"
"The vulnerable age-group is the 20-35 years bracket and, while most infections are because of unprotected sex, some were also due to contaminated blood transfusions, said Bhibuti Saha, head of the department, tropical medicine.","['', 'Epidemic']"
The School of Tropical Medicine disclosure comes close on the heels of a survey conducted by the National AIDS Control Organisation that monitors HIV infection nationally.,['Epidemic']
"It concluded that besides Delhi, Bengal is a cause of concern in terms of new infections.",['']
The number of mother-to-child infections has also shot up.,['']
The survey said there has been a 250 per cent increase in the number of HIV infections from unprotected sex and another 50 per cent in the number of mother-to-child infections.,['']
State government officials have agreed to extend support to the CNI hospital project.,['']
"A team from social welfare organisations under the CNI, Delhi, were in the city this week to visit slums.",['']
We were surprised to find that many women have heard about AIDS but they do not know how fatal the disease is.,['Epidemic']
"We need to provide people with the necessary information, explained Karuna Roy, a Delhi-based HIV/AIDS counsellor.","['', 'Epidemic']"
